N,P,K,pH,Humidity,Temperature,Rainfall,CropYield,District,SoilType,CropName
54,27,33,4.6,66,23,1850,1030,Jalpaiguri,Alluvial & Red/Yellow Soil,Jute
64,34,41,5.1,73,27,2150,1350,Jalpaiguri,Alluvial & Red/Yellow Soil,Jute
71,40,48,5.8,80,34,2550,1700,Jalpaiguri,Alluvial & Red/Yellow Soil,Jute
53,26,32,4.5,65,22,1800,1000,Jalpaiguri,Alluvial & Red/Yellow Soil,Jute
65,35,42,5.2,74,28,2200,1400,Jalpaiguri,Alluvial & Red/Yellow Soil,Jute
72,41,49,5.9,81,35,2600,1750,Jalpaiguri,Alluvial & Red/Yellow Soil,Jute
52,26,31,4.5,64,22,1800,980,Jalpaiguri,Alluvial & Red/Yellow Soil,Jute
66,36,43,5.3,75,29,2250,1450,Jalpaiguri,Alluvial & Red/Yellow Soil,Jute
73,42,50,6,82,36,2650,1800,Jalpaiguri,Alluvial & Red/Yellow Soil,Jute
51,25,30,4.4,63,21,1750,950,Jalpaiguri,Alluvial & Red/Yellow Soil,Jute
67,37,44,5.4,76,30,2300,1500,Jalpaiguri,Alluvial & Red/Yellow Soil,Jute
74,43,51,6.1,83,37,2700,1850,Jalpaiguri,Alluvial & Red/Yellow Soil,Jute
50,25,30,4.3,62,20,1700,920,Jalpaiguri,Alluvial & Red/Yellow Soil,Jute
68,38,45,5.5,77,31,2350,1550,Jalpaiguri,Alluvial & Red/Yellow Soil,Jute
75,44,52,6.2,84,38,2750,1900,Jalpaiguri,Alluvial & Red/Yellow Soil,Jute
49,24,29,4.2,61,20,1650,890,Jalpaiguri,Alluvial & Red/Yellow Soil,Jute
69,39,46,5.6,78,32,2400,1600,Jalpaiguri,Alluvial & Red/Yellow Soil,Jute
76,45,53,6.3,85,39,2800,1950,Jalpaiguri,Alluvial & Red/Yellow Soil,Jute
48,24,28,4.1,60,19,1600,860,Jalpaiguri,Alluvial & Red/Yellow Soil,Jute
70,40,47,5.7,79,33,2450,1650,Jalpaiguri,Alluvial & Red/Yellow Soil,Jute
77,46,54,6.4,86,40,2850,2000,Jalpaiguri,Alluvial & Red/Yellow Soil,Jute
47,23,27,4,59,18,1550,830,Jalpaiguri,Alluvial & Red/Yellow Soil,Jute
71,41,48,5.8,80,34,2500,1700,Jalpaiguri,Alluvial & Red/Yellow Soil,Jute
78,47,55,6.5,87,41,2900,2050,Jalpaiguri,Alluvial & Red/Yellow Soil,Jute
46,23,26,3.9,58,18,1500,800,Jalpaiguri,Alluvial & Red/Yellow Soil,Jute
72,42,49,5.9,81,35,2550,1750,Jalpaiguri,Alluvial & Red/Yellow Soil,Jute
79,48,56,6.6,88,42,2950,2100,Jalpaiguri,Alluvial & Red/Yellow Soil,Jute
45,22,25,3.8,57,17,1450,770,Jalpaiguri,Alluvial & Red/Yellow Soil,Jute
73,43,50,6,82,36,2600,1800,Jalpaiguri,Alluvial & Red/Yellow Soil,Jute
80,49,57,6.7,89,43,3000,2150,Jalpaiguri,Alluvial & Red/Yellow Soil,Jute
103,51,73,6,85,23,1800,2130,Jalpaiguri,Alluvial & Red/Yellow Soil,Rice
99,49,71,5.9,84,24,1750,2080,Jalpaiguri,Alluvial & Red/Yellow Soil,Rice
101,53,74,6.1,86,22,1850,2170,Jalpaiguri,Alluvial & Red/Yellow Soil,Rice
96,48,68,5.8,83,23,1820,2010,Jalpaiguri,Alluvial & Red/Yellow Soil,Rice
104,54,76,6.2,87,24,1780,2220,Jalpaiguri,Alluvial & Red/Yellow Soil,Rice
102,50,70,6,85,23,1800,2100,Jalpaiguri,Alluvial & Red/Yellow Soil,Rice
98,48,68,5.9,84,24,1750,2050,Jalpaiguri,Alluvial & Red/Yellow Soil,Rice
100,52,72,6.1,86,22,1850,2150,Jalpaiguri,Alluvial & Red/Yellow Soil,Rice
97,49,69,5.8,83,23,1820,2000,Jalpaiguri,Alluvial & Red/Yellow Soil,Rice
105,55,75,6.2,87,24,1780,2200,Jalpaiguri,Alluvial & Red/Yellow Soil,Rice
103,51,73,6,85,23,1800,2130,Jalpaiguri,Alluvial & Red/Yellow Soil,Rice
99,49,71,5.9,84,24,1750,2080,Jalpaiguri,Alluvial & Red/Yellow Soil,Rice
101,53,74,6.1,86,22,1850,2170,Jalpaiguri,Alluvial & Red/Yellow Soil,Rice
96,48,68,5.8,83,23,1820,2010,Jalpaiguri,Alluvial & Red/Yellow Soil,Rice
104,54,76,6.2,87,24,1780,2220,Jalpaiguri,Alluvial & Red/Yellow Soil,Rice
102,50,70,6,85,23,1800,2100,Jalpaiguri,Alluvial & Red/Yellow Soil,Rice
98,48,68,5.9,84,24,1750,2050,Jalpaiguri,Alluvial & Red/Yellow Soil,Rice
100,52,72,6.1,86,22,1850,2150,Jalpaiguri,Alluvial & Red/Yellow Soil,Rice
97,49,69,5.8,83,23,1820,2000,Jalpaiguri,Alluvial & Red/Yellow Soil,Rice
105,55,75,6.2,87,24,1780,2200,Jalpaiguri,Alluvial & Red/Yellow Soil,Rice
103,51,73,6,85,23,1800,2130,Jalpaiguri,Alluvial & Red/Yellow Soil,Rice
99,49,71,5.9,84,24,1750,2080,Jalpaiguri,Alluvial & Red/Yellow Soil,Rice
101,53,74,6.1,86,22,1850,2170,Jalpaiguri,Alluvial & Red/Yellow Soil,Rice
96,48,68,5.8,83,23,1820,2010,Jalpaiguri,Alluvial & Red/Yellow Soil,Rice
104,54,76,6.2,87,24,1780,2220,Jalpaiguri,Alluvial & Red/Yellow Soil,Rice
102,50,70,6,85,23,1800,2100,Jalpaiguri,Alluvial & Red/Yellow Soil,Rice
98,48,68,5.9,84,24,1750,2050,Jalpaiguri,Alluvial & Red/Yellow Soil,Rice
100,52,72,6.1,86,22,1850,2150,Jalpaiguri,Alluvial & Red/Yellow Soil,Rice
97,49,69,5.8,83,23,1820,2000,Jalpaiguri,Alluvial & Red/Yellow Soil,Rice
105,55,75,6.2,87,24,1780,2200,Jalpaiguri,Alluvial & Red/Yellow Soil,Rice
103,51,73,6,85,23,1800,2130,Jalpaiguri,Alluvial & Red/Yellow Soil,Rice
99,49,71,5.9,84,24,1750,2080,Jalpaiguri,Alluvial & Red/Yellow Soil,Rice
101,53,74,6.1,86,22,1850,2170,Jalpaiguri,Alluvial & Red/Yellow Soil,Rice
96,48,68,5.8,83,23,1820,2010,Jalpaiguri,Alluvial & Red/Yellow Soil,Rice
104,54,76,6.2,87,24,1780,2220,Jalpaiguri,Alluvial & Red/Yellow Soil,Rice
102,50,70,6,85,23,1800,2100,Jalpaiguri,Alluvial & Red/Yellow Soil,Rice
98,48,68,5.9,84,24,1750,2050,Jalpaiguri,Alluvial & Red/Yellow Soil,Rice
100,52,72,6.1,86,22,1850,2150,Jalpaiguri,Alluvial & Red/Yellow Soil,Rice
97,49,69,5.8,83,23,1820,2000,Jalpaiguri,Alluvial & Red/Yellow Soil,Rice
105,55,75,6.2,87,24,1780,2200,Jalpaiguri,Alluvial & Red/Yellow Soil,Rice
83,42,53,5.6,76,21,1250,1875,Jalpaiguri,Alluvial & Red/Yellow Soil,Potato
79,39,49,5.5,75,20,1150,1725,Jalpaiguri,Alluvial & Red/Yellow Soil,Potato
81,40,51,5.6,76,21,1225,1825,Jalpaiguri,Alluvial & Red/Yellow Soil,Potato
87,43,57,5.7,77,20,1375,1975,Jalpaiguri,Alluvial & Red/Yellow Soil,Potato
84,41,54,5.6,76,21,1275,1900,Jalpaiguri,Alluvial & Red/Yellow Soil,Potato
86,42,56,5.7,77,21,1325,1950,Jalpaiguri,Alluvial & Red/Yellow Soil,Potato
80,39,49,5.5,75,20,1200,1800,Jalpaiguri,Alluvial & Red/Yellow Soil,Potato
82,40,51,5.6,76,21,1250,1850,Jalpaiguri,Alluvial & Red/Yellow Soil,Potato
88,43,57,5.8,78,22,1400,2000,Jalpaiguri,Alluvial & Red/Yellow Soil,Potato
83,41,53,5.6,76,21,1275,1875,Jalpaiguri,Alluvial & Red/Yellow Soil,Potato
79,38,49,5.5,75,20,1150,1725,Jalpaiguri,Alluvial & Red/Yellow Soil,Potato
81,39,51,5.6,76,21,1225,1825,Jalpaiguri,Alluvial & Red/Yellow Soil,Potato
87,42,57,5.7,77,20,1375,1975,Jalpaiguri,Alluvial & Red/Yellow Soil,Potato
84,40,54,5.6,76,21,1275,1900,Jalpaiguri,Alluvial & Red/Yellow Soil,Potato
86,41,56,5.7,77,21,1325,1950,Jalpaiguri,Alluvial & Red/Yellow Soil,Potato
80,39,49,5.5,75,20,1200,1800,Jalpaiguri,Alluvial & Red/Yellow Soil,Potato
82,40,51,5.6,76,21,1250,1850,Jalpaiguri,Alluvial & Red/Yellow Soil,Potato
88,43,57,5.8,78,22,1400,2000,Jalpaiguri,Alluvial & Red/Yellow Soil,Potato
83,41,53,5.6,76,21,1275,1875,Jalpaiguri,Alluvial & Red/Yellow Soil,Potato
79,38,49,5.5,75,20,1150,1725,Jalpaiguri,Alluvial & Red/Yellow Soil,Potato
81,39,51,5.6,76,21,1225,1825,Jalpaiguri,Alluvial & Red/Yellow Soil,Potato
87,42,57,5.7,77,20,1375,1975,Jalpaiguri,Alluvial & Red/Yellow Soil,Potato
84,40,54,5.6,76,21,1275,1900,Jalpaiguri,Alluvial & Red/Yellow Soil,Potato
86,41,56,5.7,77,21,1325,1950,Jalpaiguri,Alluvial & Red/Yellow Soil,Potato
80,39,49,5.5,75,20,1200,1800,Jalpaiguri,Alluvial & Red/Yellow Soil,Potato
82,40,51,5.6,76,21,1250,1850,Jalpaiguri,Alluvial & Red/Yellow Soil,Potato
88,43,57,5.8,78,22,1400,2000,Jalpaiguri,Alluvial & Red/Yellow Soil,Potato
83,41,53,5.6,76,21,1275,1875,Jalpaiguri,Alluvial & Red/Yellow Soil,Potato
79,38,49,5.5,75,20,1150,1725,Jalpaiguri,Alluvial & Red/Yellow Soil,Potato
81,39,51,5.6,76,21,1225,1825,Jalpaiguri,Alluvial & Red/Yellow Soil,Potato
87,42,57,5.7,77,20,1375,1975,Jalpaiguri,Alluvial & Red/Yellow Soil,Potato
84,40,54,5.6,76,21,1275,1900,Jalpaiguri,Alluvial & Red/Yellow Soil,Potato
86,41,56,5.7,77,21,1325,1950,Jalpaiguri,Alluvial & Red/Yellow Soil,Potato
80,39,49,5.5,75,20,1200,1800,Jalpaiguri,Alluvial & Red/Yellow Soil,Potato
82,40,51,5.6,76,21,1250,1850,Jalpaiguri,Alluvial & Red/Yellow Soil,Potato
88,43,57,5.8,78,22,1400,2000,Jalpaiguri,Alluvial & Red/Yellow Soil,Potato
83,41,53,5.6,76,21,1275,1875,Jalpaiguri,Alluvial & Red/Yellow Soil,Potato
79,38,49,5.5,75,20,1150,1725,Jalpaiguri,Alluvial & Red/Yellow Soil,Potato
81,39,51,5.6,76,21,1225,1825,Jalpaiguri,Alluvial & Red/Yellow Soil,Potato
87,42,57,5.7,77,20,1375,1975,Jalpaiguri,Alluvial & Red/Yellow Soil,Potato
84,40,54,5.6,76,21,1275,1900,Jalpaiguri,Alluvial & Red/Yellow Soil,Potato
86,41,56,5.7,77,21,1325,1950,Jalpaiguri,Alluvial & Red/Yellow Soil,Potato
77,37,49,5.4,81,26,1725,1650,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
74,34,46,5.3,79,25,1675,1575,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
79,39,51,5.5,83,27,1775,1725,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
77,37,49,5.4,81,26,1725,1650,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
81,41,53,5.6,84,28,1825,1875,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
78,38,50,5.4,82,27,1750,1700,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
75,35,47,5.3,80,26,1700,1600,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
73,33,43,5.2,78,25,1650,1575,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
79,39,51,5.5,83,27,1775,1725,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
77,37,49,5.4,81,26,1725,1650,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
81,41,53,5.6,84,28,1825,1875,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
78,38,50,5.4,82,27,1750,1700,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
75,35,47,5.3,80,26,1700,1600,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
73,33,43,5.2,78,25,1650,1575,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
79,39,51,5.5,83,27,1775,1725,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
77,37,49,5.4,81,26,1725,1650,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
81,41,53,5.6,84,28,1825,1875,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
78,38,50,5.4,82,27,1750,1700,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
75,35,47,5.3,80,26,1700,1600,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
73,33,43,5.2,78,25,1650,1575,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
79,39,51,5.5,83,27,1775,1725,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
77,37,49,5.4,81,26,1725,1650,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
81,41,53,5.6,84,28,1825,1875,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
78,38,50,5.4,82,27,1750,1700,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
75,35,47,5.3,80,26,1700,1600,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
73,33,43,5.2,78,25,1650,1575,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
79,39,51,5.5,83,27,1775,1725,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
77,37,49,5.4,81,26,1725,1650,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
81,41,53,5.6,84,28,1825,1875,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
78,38,50,5.4,82,27,1750,1700,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
75,35,47,5.3,80,26,1700,1600,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
73,33,43,5.2,78,25,1650,1575,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
79,39,51,5.5,83,27,1775,1725,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
77,37,49,5.4,81,26,1725,1650,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
81,41,53,5.6,84,28,1825,1875,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
78,38,50,5.4,82,27,1750,1700,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
75,35,47,5.3,80,26,1700,1600,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
73,33,43,5.2,78,25,1650,1575,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
79,39,51,5.5,83,27,1775,1725,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
77,37,49,5.4,81,26,1725,1650,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
81,41,53,5.6,84,28,1825,1875,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
78,38,50,5.4,82,27,1750,1700,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
75,35,47,5.3,80,26,1700,1600,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
73,33,43,5.2,78,25,1650,1575,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
79,39,51,5.5,83,27,1775,1725,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
77,37,49,5.4,81,26,1725,1650,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
81,41,53,5.6,84,28,1825,1875,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
78,38,50,5.4,82,27,1750,1700,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
75,35,47,5.3,80,26,1700,1600,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
73,33,43,5.2,78,25,1650,1575,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
79,39,51,5.5,83,27,1775,1725,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
77,37,49,5.4,81,26,1725,1650,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
81,41,53,5.6,84,28,1825,1875,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
78,38,50,5.4,82,27,1750,1700,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
75,35,47,5.3,80,26,1700,1600,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
73,33,43,5.2,78,25,1650,1575,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
79,39,51,5.5,83,27,1775,1725,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
77,37,49,5.4,81,26,1725,1650,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
81,41,53,5.6,84,28,1825,1875,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
78,38,50,5.4,82,27,1750,1700,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
75,35,47,5.3,80,26,1700,1600,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
73,33,43,5.2,78,25,1650,1575,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
79,39,51,5.5,83,27,1775,1725,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
77,37,49,5.4,81,26,1725,1650,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
81,41,53,5.6,84,28,1825,1875,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
78,38,50,5.4,82,27,1750,1700,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
75,35,47,5.3,80,26,1700,1600,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
73,33,43,5.2,78,25,1650,1575,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
79,39,51,5.5,83,27,1775,1725,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
77,37,49,5.4,81,26,1725,1650,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
81,41,53,5.6,84,28,1825,1875,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
78,38,50,5.4,82,27,1750,1700,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
75,35,47,5.3,80,26,1700,1600,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
73,33,43,5.2,78,25,1650,1575,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
79,39,51,5.5,83,27,1775,1725,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
77,37,49,5.4,81,26,1725,1650,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
81,41,53,5.6,84,28,1825,1875,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
78,38,50,5.4,82,27,1750,1700,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
75,35,47,5.3,80,26,1700,1600,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
73,33,43,5.2,78,25,1650,1575,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
79,39,51,5.5,83,27,1775,1725,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
77,37,49,5.4,81,26,1725,1650,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
81,41,53,5.6,84,28,1825,1875,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
78,38,50,5.4,82,27,1750,1700,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
75,35,47,5.3,80,26,1700,1600,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
73,33,43,5.2,78,25,1650,1575,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
79,39,51,5.5,83,27,1775,1725,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
77,37,49,5.4,81,26,1725,1650,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
81,41,53,5.6,84,28,1825,1875,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
78,38,50,5.4,82,27,1750,1700,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
75,35,47,5.3,80,26,1700,1600,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
73,33,43,5.2,78,25,1650,1575,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
79,39,51,5.5,83,27,1775,1725,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
77,37,49,5.4,81,26,1725,1650,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
81,41,53,5.6,84,28,1825,1875,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
78,38,50,5.4,82,27,1750,1700,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
75,35,47,5.3,80,26,1700,1600,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
73,33,43,5.2,78,25,1650,1575,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
79,39,51,5.5,83,27,1775,1725,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
77,37,49,5.4,81,26,1725,1650,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
81,41,53,5.6,84,28,1825,1875,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
78,38,50,5.4,82,27,1750,1700,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
75,35,47,5.3,80,26,1700,1600,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
73,33,43,5.2,78,25,1650,1575,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
79,39,51,5.5,83,27,1775,1725,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
77,37,49,5.4,81,26,1725,1650,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
81,41,53,5.6,84,28,1825,1875,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
78,38,50,5.4,82,27,1750,1700,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
75,35,47,5.3,80,26,1700,1600,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
73,33,43,5.2,78,25,1650,1575,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
79,39,51,5.5,83,27,1775,1725,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
77,37,49,5.4,81,26,1725,1650,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
81,41,53,5.6,84,28,1825,1875,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
78,38,50,5.4,82,27,1750,1700,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
75,35,47,5.3,80,26,1700,1600,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
73,33,43,5.2,78,25,1650,1575,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
79,39,51,5.5,83,27,1775,1725,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
77,37,49,5.4,81,26,1725,1650,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
81,41,53,5.6,84,28,1825,1875,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
78,38,50,5.4,82,27,1750,1700,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
75,35,47,5.3,80,26,1700,1600,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
73,33,43,5.2,78,25,1650,1575,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
79,39,51,5.5,83,27,1775,1725,Jalpaiguri,Alluvial & Red/Yellow Soil,Jackfruit
118,63,82,5.9,77,29,1980,1850,Alipurduar,Alluvial Soil,Potato
112,57,77,5.6,72,26,1930,1700,Alipurduar,Alluvial Soil,Potato
128,68,88,6.1,79,31,2070,1975,Alipurduar,Alluvial Soil,Potato
132,71,92,6.2,80,32,2120,2050,Alipurduar,Alluvial Soil,Potato
113,56,76,5.5,71,25,1910,1680,Alipurduar,Alluvial Soil,Potato
122,61,81,5.7,75,27,2010,1880,Alipurduar,Alluvial Soil,Potato
116,59,79,5.6,73,26,1970,1780,Alipurduar,Alluvial Soil,Potato
124,64,84,5.9,78,28,2060,1920,Alipurduar,Alluvial Soil,Potato
129,66,89,6,79,30,2090,1980,Alipurduar,Alluvial Soil,Potato
121,59,80,5.8,76,28,2015,1865,Alipurduar,Alluvial Soil,Potato
117,60,78,5.7,74,27,1985,1805,Alipurduar,Alluvial Soil,Potato
126,63,86,5.9,77,29,2065,1935,Alipurduar,Alluvial Soil,Potato
131,67,91,6,79,30,2105,1995,Alipurduar,Alluvial Soil,Potato
114,58,77,5.6,72,26,1940,1750,Alipurduar,Alluvial Soil,Potato
123,62,83,5.8,76,27,2025,1890,Alipurduar,Alluvial Soil,Potato
119,64,81,5.7,75,28,2005,1875,Alipurduar,Alluvial Soil,Potato
133,72,93,6.2,81,33,2140,2075,Alipurduar,Alluvial Soil,Potato
111,56,76,5.5,71,25,1925,1690,Alipurduar,Alluvial Soil,Potato
127,65,87,6,78,29,2080,1950,Alipurduar,Alluvial Soil,Potato
134,73,94,6.3,82,34,2160,2100,Alipurduar,Alluvial Soil,Potato
115,60,80,5.8,75,28,2000,1800,Alipurduar,Alluvial Soil,Potato
